"","glasso-ebic-0","glasso-ebic-0.5","glasso-ric","hglasso","mle","glasso-stars-0.05","glasso-stars-0.1","qgraph-ebic-0","qgraph-ebic-0.5","SpiderLearner","fold"
"1",-1187.62984820488,-1889.65023764851,-1372.98638974068,-1118.96889365113,-2253.01707286077,-1517.97906786959,-1420.1492576592,-1214.22047013565,-1425.60810398818,-1111.91995907076,1
"2",-1020.27920011976,-1706.75859905773,-1195.25716726334,-783.527337539434,-1559.89459877608,-1325.5031133851,-1220.53265742692,-922.895520837509,-1172.13067975188,-782.339512572974,2
"3",-884.282782242104,-1596.75816820436,-1106.1538515526,-720.54830709115,-1371.43690535083,-1216.01918930751,-1120.2143825521,-845.932335173107,-1062.64739904866,-710.781064767339,3
"4",-889.223900129184,-1635.62260922148,-1105.07363646291,-728.146389877209,-1482.38453073385,-1241.32752662417,-1142.67457749289,-868.687230292359,-1083.31494437581,-723.491114706468,4
"5",-1025.24051404393,-1791.16752904927,-1242.12997500535,-899.268681639327,-1897.7598407835,-1392.4845828906,-1284.13953639104,-1004.23962772583,-1292.10147174557,-897.63377211769,5
"6",-936.586566687215,-1643.84257481391,-1128.30690675602,-798.975384980585,-1600.90452226599,-1260.49935416057,-1170.87078934175,-910.089012770718,-1110.17650054516,-789.808305565476,6
"7",-969.725129893578,-1701.6052756718,-1196.54156468615,-819.878757199522,-1466.63890693081,-1310.98710387988,-1209.27863919909,-935.484520868195,-1188.46787044981,-809.61039035409,7
"8",-910.029006301876,-1609.34025066368,-1112.85504596104,-754.378635544195,-1535.4322857953,-1233.51521498943,-1141.35143473727,-879.784384486858,-1074.71884712057,-748.096500799205,8
"9",-1034.09232602083,-1706.31250725121,-1237.20383971685,-899.351754838664,-1710.04860719023,-1360.4318844331,-1272.31031532995,-1034.09166943635,-1233.08659393159,-895.466212554428,9
"10",-958.885681574572,-1589.93518678611,-1104.26208868982,-763.986473807953,-1522.36976859719,-1212.79305757698,-1120.27610218254,-861.848013132366,-1059.52714471427,-750.580579102773,10
