"","glasso-ebic-0","glasso-ebic-0.5","glasso-ric","hglasso","mle","glasso-stars-0.05","glasso-stars-0.1","qgraph-ebic-0","qgraph-ebic-0.5","SpiderLearner","dataset"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2",-0.0054454723809847,-0.211207874010512,-0.0474698072896678,-0.031788483315183,-0.615103964806086,-0.0865058323823225,-0.0577764335319054,0,-0.0450064671706035,-0.0326544173586114,2
"3",-0.00255618531657504,-0.230836108331179,-0.0536218708774373,-0.0103604237005106,-0.563221177299256,-0.0945606971954798,-0.0652535378586837,0,-0.0503133615112794,-0.010507928877989,3
"4",-0.0786528267772882,-0.456830432818927,-0.177845630077357,-0.00936782610697317,-0.384395063391878,-0.245100570854234,-0.197539702235283,-0.065944132696154,-0.172245275509689,0,4
"5",-0.00418560932709228,-0.256811880599898,-0.0667316421498939,-0.00765868147544634,-0.574865895119277,-0.115892975419746,-0.0804488329844308,0,-0.0692122765106574,-0.00898231746026386,5
"6",-0.0615852331070067,-0.460532937631931,-0.17262796775821,-0.00316486526143392,-0.499666261633436,-0.248708594440726,-0.195726633156375,-0.0427324377140247,-0.171278149344618,0,6
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"8",0,-0.180957288525052,-0.0440113382115725,-0.0254799132624371,-0.615894379475312,-0.0773410093473762,-0.0539862180556405,-0.00614324331204952,-0.0487849207302559,-0.0295676978542978,8
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"10",0,-0.073414385059249,-0.00105738232223106,-0.0684297158010504,-0.683421502930564,-0.0131979418154769,-0.00392904353888689,-0.0122640255451095,-0.000732021615850945,-0.0722572540956643,10
"11",-0.0582190599668856,-0.424409413818297,-0.152649293176601,-0.00563784808854119,-0.472926629521318,-0.218947991697139,-0.17220599358805,-0.0430103143556934,-0.145163428954419,0,11
"12",-0.0199325351283989,-0.315928854746199,-0.0908490672983448,-0.00306657021739718,-0.516750764573968,-0.146359814170618,-0.107010268724438,-0.0116673110513564,-0.0892580429647776,0,12
"13",-0.00188710948525948,-0.234006538472562,-0.0558325616831049,-0.00969390537020119,-0.558347675430248,-0.098748556217531,-0.0683049634779365,0,-0.0557573908886472,-0.00925744341355614,13
"14",-0.00812897526693232,-0.272870720255822,-0.0672371818591793,-0.00720902974583573,-0.532045798985966,-0.114557717068326,-0.0807747269174873,0,-0.0598627056574726,-0.0033607273884642,14
"15",-0.00267497780484094,-0.245894453156566,-0.0597089252700714,-0.00487346694830615,-0.543415536192444,-0.104357230928413,-0.0726150276194903,0,-0.0591290865889781,-0.00390055002574546,15
